0,1,2,3,4,5,6,7,8,9,10
mustard,soda,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
soda,spices,,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,onions,,,,,,,,,
frankfurter,pot plants,brown bread,,,,,,,,
Instant food products,coffee,,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
berries,other vegetables,,,,,,,,,
soda,whole milk,soda,specialty bar,bottled water,,,,,,
light bulbs,whole milk,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
fruit/vegetable juice,butter,rolls/buns,,,,,,,,
domestic eggs,ham,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
yogurt,napkins,,,,,,,,,
root vegetables,butter,,,,,,,,,
soda,misc. beverages,,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
tropical fruit,waffles,,,,,,,,,
shopping bags,snack products,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
coffee,domestic eggs,,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
soda,root vegetables,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
berries,root vegetables,,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
whole milk,bottled beer,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
sausage,candles,,,,,,,,,
rolls/buns,sugar,butter,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
whole milk,soda,soda,fruit/vegetable juice,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
bottled water,canned beer,,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
cream cheese ,soda,,,,,,,,,
beef,canned beer,margarine,,,,,,,,
yogurt,yogurt,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
meat,butter milk,,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
